123456789|Teste|0|912345678
123456788|Teste|0|912345678
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123455678|Teste55|0|912343567
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123456789|Teste|0|912345678
123456788|Teste|0|912345678
123455678|Teste55|0|912343567
123456789|Nelson|1|911939403
122334432|Manuel|0|911939403
